Ranking,School,Games,Attendance ,Average
3,Alabama,7,"710,538",101505
6,Tennessee,7,"669,087",95584
7,Georgia,6,"556,476",92746
8,LSU,7,"639,927",91418
10,Florida,6,"524,638",87440
11,Texas A&M,8,"697,003",87125
12,Auburn,8,"685,252",85657
14,South Carolina,7,"576,805",82401
25,Missouri,7,"444,532",63505
27,Arkansas,7,"431,174",61596
29,Kentucky,7,"416,303",59472
30,Ole Miss,7,"415,750",53393
