TOP TEN GAMES,,,,,
Viewers,TV + Streaming,Away,Home,Date,Network
,(2.032M),Arkansas,LSU,11/11/2017,ESPN
,(1.872M),FSU,Clemson,11/11/2017,ESPN
1.641M,,USC,Colorado,11/11/2017,FOX
1.057M,,Washington,Stanford,11/10/2017,FS1
,(1.015M),UNC,Pittsburgh,11/9/2017,ESPN
,(983K),W. Virginia,K-State,11/11/2017,ESPN2
,(697K),Temple,Cincinnati,11/10/2017,ESPN2
659K,,Nebraska,Minnesota,11/11/2017,FS1
,(531K),Oregon St.,Arizona,11/11/2017,ESPN2
,(525K),BYU,UNLV,11/10/2017,ESPN2
,(471K),Toledo,Ohio,11/8/2017,ESPN2
,(421K),Purdue,Northwestern,11/11/2017,ESPN2
,(408K),ABC reverse mirror,,11/11/2017,ESPN2
,(369K),Akron,Miami (Ohio),11/7/2017,ESPN2
,(222K),New Mexico,Texas A&M,11/11/2017,ESPNU
,(217K),Virginia,Louisville,11/11/2017,ESPNU
,(163K),UConn,USF,11/11/2017,ESPNU
,(159K),Wyoming,Air Force,11/11/2017,ESPNU
,(115K),E. Michigan,C. Michigan,11/8/2017,ESPNU
,(102K),Ga. Southern,App. State,11/9/2017,ESPNU
,(89K),Bowl. Green,Buffalo,11/7/2017,ESPNU
n.a.,,W. Kentucky,Marshall,11/11/2017,beIN
6.729M,,LSU,Alabama,11/4/2017,CBS
,(4.112M),Ohio State,Iowa,11/4/2017,ESPN
3.482M,,S. Carolina,Georgia,11/4/2017,CBS
3.102M,,Penn State,Michigan St.,11/4/2017,FOX
3.011M,,Va. Tech,Miami,11/4/2017,ABC
2.850M,,Minnesota,Michigan,11/4/2017,FOX
2.834M,,Wisconsin,Indiana,11/4/2017,ABC
2.831M,,Clemson,N.C. State,11/4/2017,ABC
,(2.631M),Auburn,Texas A&M,11/4/2017,ESPN
2.486M,,Oklahoma,Oklahoma St.,11/4/2017,FS1
1.987M,,Stanford,Washington St.,11/4/2017,FOX
,(1.939M),Arizona,USC,11/4/2017,ESPN
1.903M,,Wake Forest,Notre Dame,11/4/2017,NBC
